,AggravatedAssault,Burglary,County,LarcenyTheft,Murder-Man-slaughter,Population3,Population4,Rape,Robbery,TotalPropertyCrime,TotalViolentCrime,VehicleTheft,Year3,Year4
0,110.5,282.4,Accomack County,917.8,6.1,"32,577","32,577",15.3,43.0,"1,347.6",175.0,147.3,2005,2005
1,68.4,220.7,Accomack County,"1,063.3",3.1,"32,165","32,165",34.2,59.1,"1,405.3",164.8,121.2,2004,2004
2,71.4,276.4,Accomack County,875.8,3.1,"32,199","32,199",37.3,62.1,"1,292.0",173.9,139.8,2003,2003
3,137.2,405.3,Accomack County,788.7,0.0,"32,077","32,077",21.8,106.0,"1,318.7",265.0,124.7,2002,2002
4,88.6,572.6,Accomack County,974.4,6.3,"31,609","31,609",25.3,129.7,"1,698.9",249.9,151.9,2001,2001
5,128.5,510.8,Accomack County,"1,223.9",3.2,"31,130","31,130",25.7,99.6,"1,956.3",257.0,221.7,2000,2000
6,77.1,250.5,Accomack County,558.8,0.0,"25,947","25,947",3.9,80.9,901.8,161.9,92.5,1995,1995
7,137.9,425.4,Accomack County,819.3,11.8,"25,386","25,386",31.5,11.8,"1,323.6",193.0,78.8,1990,1990
8,52.2,574.3,Accomack County,473.6,7.5,"26,816","26,816",18.6,14.9,"1,059.1",93.2,11.2,1985,1985
9,37.2,683.7,Accomack County,578.8,6.8,"29,546","29,546",6.8,10.2,"1,286.1",60.9,23.7,1980,1980
10,100.0,291.1,Albemarle County,"1,835.4",1.1,"90,006","90,006",35.6,28.9,"2,252.1",165.5,125.5,2005,2005
11,84.7,239.4,Albemarle County,"1,660.2",1.1,"88,542","88,542",32.8,22.6,"1,988.9",141.2,89.2,2004,2004
12,88.0,299.0,Albemarle County,"1,753.3",6.0,"82,930","82,930",42.2,21.7,"2,158.4",158.0,106.1,2003,2003
13,128.6,333.2,Albemarle County,"1,735.6",2.4,"81,643","81,643",31.8,23.3,"2,172.9",186.2,104.1,2002,2002
14,130.5,420.1,Albemarle County,"1,915.3",2.5,"80,459","80,459",18.6,24.9,"2,431.1",176.5,95.7,2001,2001
15,102.2,455.6,Albemarle County,"1,994.0",2.5,"79,236","79,236",27.8,21.5,"2,556.9",154.0,107.3,2000,2000
16,95.1,457.5,Albemarle County,"1,982.8",9.6,"72,574","72,574",19.3,23.4,"2,568.4",147.4,128.1,1995,1995
17,97.0,449.7,Albemarle County,"1,756.3",0.0,"68,040","68,040",23.5,16.2,"2,329.5",136.7,123.5,1990,1990
18,140.8,360.5,Albemarle County,"1,856.1",8.4,"59,641","59,641",8.4,16.8,"2,357.4",174.4,140.8,1985,1985
19,0.0,0.0,Albemarle County,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1980,1980
20,24.5,179.6,Alleghany County,375.4,0.0,"12,252","12,252",0.0,0.0,595.8,24.5,40.8,2005,2005
21,90.0,204.6,Alleghany County,581.0,0.0,"12,220","12,220",0.0,0.0,834.7,90.0,49.1,2004,2004
22,61.9,286.2,Alleghany County,618.9,0.0,"12,927","12,927",15.5,0.0,997.9,77.4,92.8,2003,2003
23,97.6,247.8,Alleghany County,705.8,7.5,"13,319","13,319",15.0,0.0,"1,066.1",120.1,112.6,2002,2002
24,114.3,243.8,Alleghany County,563.8,0.0,"13,125","13,125",7.6,7.6,845.7,129.5,38.1,2001,2001
25,410.0,270.8,Alleghany County,603.4,0.0,"12,926","12,926",7.7,15.5,920.6,433.2,46.4,2000,2000
26,31.7,332.9,Alleghany County,958.9,0.0,"12,618","12,618",0.0,23.8,"1,355.2",55.5,63.4,1995,1995
27,54.9,329.2,Alleghany County,932.7,15.7,"12,759","12,759",15.7,7.8,"1,379.4",94.1,117.6,1990,1990
28,22.6,233.1,Alleghany County,714.4,7.5,"13,297","13,297",15.0,22.6,"1,000.2",67.7,52.6,1985,1985
29,84.0,727.6,Alleghany County,"1,182.3",7.0,"14,294","14,294",14.0,0.0,"1,972.9",104.9,63.0,1980,1980
30,41.3,190.1,Amelia County,471.0,8.3,"12,101","12,101",33.1,0.0,"1,239.6",82.6,578.5,2005,2005
31,75.9,92.8,Amelia County,657.7,0.0,"11,859","11,859",8.4,8.4,868.5,92.8,118.1,2004,2004
32,16.9,278.2,Amelia County,708.1,8.4,"11,863","11,863",8.4,8.4,"1,053.7",42.1,67.4,2003,2003
33,59.6,289.5,Amelia County,715.1,8.5,"11,746","11,746",8.5,25.5,"1,081.2",102.2,76.6,2002,2002
34,51.8,276.4,Amelia County,604.7,0.0,"11,576","11,576",34.6,8.6,976.2,95.0,95.0,2001,2001
35,43.9,175.4,Amelia County,570.2,8.8,"11,400","11,400",0.0,8.8,789.5,61.4,43.9,2000,2000
36,72.6,300.9,Amelia County,643.4,0.0,"9,637","9,637",31.1,0.0,"1,027.3",103.8,83.0,1995,1995
37,45.5,341.4,Amelia County,864.9,22.8,"8,787","8,787",11.4,11.4,"1,331.5",91.0,125.2,1990,1990
38,226.1,428.4,Amelia County,440.3,11.9,"8,404","8,404",59.5,11.9,904.3,309.4,35.7,1985,1985
39,95.9,395.5,Amelia County,347.6,0.0,"8,344","8,344",0.0,0.0,803.0,95.9,59.9,1980,1980
40,79.5,175.6,Amherst County,937.4,3.3,"30,189","30,189",16.6,26.5,"1,189.2",125.9,76.2,2005,2005
41,50.1,156.8,Amherst County,871.0,3.3,"29,966","29,966",33.4,33.4,"1,131.3",120.1,103.5,2004,2004
42,29.9,179.3,Amherst County,846.5,3.3,"30,123","30,123",26.6,16.6,"1,125.4",76.4,99.6,2003,2003
43,49.1,167.0,Amherst County,834.9,6.5,"30,543","30,543",16.4,6.5,"1,067.3",78.6,65.5,2002,2002
44,86.4,202.7,Amherst County,930.2,0.0,"30,100","30,100",33.2,23.3,"1,245.8",142.9,113.0,2001,2001
45,60.7,151.8,Amherst County,711.8,13.5,"29,643","29,643",13.5,0.0,914.2,87.7,50.6,2000,2000
46,150.5,374.4,Amherst County,"1,053.2",10.5,"28,579","28,579",21.0,14.0,"1,483.6",195.9,56.0,1995,1995
47,247.1,305.3,Amherst County,"1,606.2",3.6,"27,518","27,518",3.6,36.3,"1,966.0",290.7,54.5,1990,1990
48,201.0,257.4,Amherst County,878.0,3.5,"28,361","28,361",17.6,0.0,"1,198.8",222.1,63.5,1985,1985
49,171.7,776.1,Amherst County,"1,455.5",3.6,"27,962","27,962",14.3,42.9,"2,317.4",232.5,85.8,1980,1980
50,28.3,191.3,Appomattox County,559.7,7.1,"14,114","14,114",7.1,14.2,857.3,56.7,106.3,2005,2005
51,79.4,158.9,Appomattox County,534.5,0.0,"13,846","13,846",14.4,28.9,707.8,122.8,14.4,2004,2004
52,14.4,223.5,Appomattox County,778.7,0.0,"13,870","13,870",36.0,14.4,"1,045.4",64.9,43.3,2003,2003
53,28.3,113.3,Appomattox County,545.3,0.0,"14,121","14,121",21.2,28.3,665.7,77.9,7.1,2002,2002
54,93.4,150.9,Appomattox County,618.0,0.0,"13,916","13,916",28.7,0.0,812.0,122.2,43.1,2001,2001
55,29.2,131.3,Appomattox County,693.2,7.3,"13,705","13,705",7.3,7.3,875.6,51.1,51.1,2000,2000
56,469.9,125.3,Appomattox County,540.3,15.7,"12,770","12,770",0.0,0.0,689.1,485.5,23.5,1995,1995
57,162.6,252.1,Appomattox County,609.9,0.0,"12,298","12,298",8.1,8.1,894.5,178.9,32.5,1990,1990
58,0.0,245.0,Appomattox County,535.4,0.0,"11,020","11,020",18.1,9.1,843.9,27.2,63.5,1985,1985
