,GEOID,east,north,south,west,lon,lat
0,510131031001,-77.07,38.8597,38.8475,-77.0907,-77.08035,38.8536
1,510131031002,-77.0761,38.8517,38.8437,-77.0896,-77.08285000000001,38.8477
2,510131031003,-77.0875,38.8527,38.8447,-77.0952,-77.09135,38.8487
3,510131032001,-77.0772,38.865,38.8624,-77.0818,-77.0795,38.8637
4,510131032002,-77.0769,38.8639,38.859,-77.0841,-77.0805,38.861450000000005
5,510131032003,-77.0723,38.8633,38.8551,-77.0864,-77.07935,38.8592
6,510131033002,-77.0743,38.8654,38.8603,-77.0776,-77.07595,38.86285
7,510131034022,-77.0493,38.8561,38.8533,-77.0525,-77.0509,38.854699999999994
8,510131035012,-77.0627,38.8659,38.8621,-77.066,-77.06435,38.864000000000004
9,510131036011,-77.0606,38.8586,38.8505,-77.0652,-77.0629,38.85455
10,510131036021,-77.0522,38.8575,38.8549,-77.0557,-77.05395,38.8562
11,510131038001,-77.0703,38.8531,38.8433,-77.082,-77.07615,38.8482
12,510150701003,-79.1805,38.4128,38.0682,-79.5333,-79.3569,38.2405
13,510150701004,-79.3594,38.0669,38.0578,-79.3733,-79.36635,38.062349999999995
14,510150704003,-78.8123,38.1892,38.1436,-78.8629,-78.8376,38.166399999999996
15,510150706002,-78.9722,38.1318,38.1058,-79.0116,-78.9919,38.1188
16,510150706005,-78.932,38.0975,38.062,-78.9887,-78.96035,38.07975
17,510150708004,-79.1079,38.1682,38.1421,-79.1511,-79.12950000000001,38.15515
18,510150709002,-79.0636,38.1313,38.0951,-79.0993,-79.08144999999999,38.113200000000006
19,510150711011,-79.0101,38.0656,38.0302,-79.0648,-79.03745,38.0479
20,510150711022,-79.0265,38.0136,37.9899,-79.0462,-79.03635,38.00175
21,510179201002,-79.4367,38.2664,37.994,-79.9448,-79.69075000000001,38.1302
22,510190301013,-79.2324,37.4697,37.4326,-79.2985,-79.26545,37.45115
23,510190301042,-79.2697,37.3432,37.3168,-79.2925,-79.28110000000001,37.33
24,510190304023,-79.5106,37.2847,37.2226,-79.5876,-79.5491,37.25365
25,510190306031,-79.6677,37.2927,37.2415,-79.7551,-79.7114,37.2671
26,510230401004,-79.7274,37.6425,37.5438,-79.8474,-79.78739999999999,37.593149999999994
27,510230402004,-79.6582,37.5299,37.4663,-79.7365,-79.69735,37.498099999999994
28,510230403012,-79.8005,37.5078,37.4493,-79.9186,-79.85955,37.47855
29,510230404022,-79.8863,37.3886,37.3522,-79.946,-79.91615,37.370400000000004
30,510259302012,-77.6565,36.8368,36.7573,-77.8106,-77.73355,36.79705
31,510270101004,-82.0764,37.3151,37.2684,-82.1566,-82.1165,37.29175
32,510270103003,-82.1426,37.3121,37.2651,-82.1973,-82.16995,37.2886
33,510299301022,-78.3024,37.7153,37.6237,-78.4286,-78.3655,37.6695
34,510310201023,-79.045,37.2777,37.2127,-79.1226,-79.0838,37.2452
35,510310202002,-79.1258,37.3275,37.2999,-79.1619,-79.14385,37.3137
36,510310203003,-79.2497,37.3577,37.3307,-79.2697,-79.25970000000001,37.3442
37,510310204022,-79.2466,37.335,37.3181,-79.2701,-79.25835000000001,37.32655
38,510310207001,-79.2856,37.1323,37.1048,-79.3219,-79.30375000000001,37.11855
39,510310207002,-79.2673,37.1267,37.1054,-79.2948,-79.28105,37.11605
40,510310209003,-78.9101,37.0662,37.0257,-78.9684,-78.93925,37.045950000000005
41,510330302021,-77.0687,38.0787,37.8857,-77.3255,-77.1971,37.9822
42,510330305005,-77.4936,38.0189,37.9672,-77.5471,-77.52035000000001,37.99305
43,510350803003,-80.9179,36.8279,36.7079,-81.0424,-80.98015000000001,36.7679
44,510350806012,-80.8198,36.6492,36.5823,-80.9067,-80.86325,36.61575
45,510350806022,-80.6109,36.6405,36.5579,-80.6878,-80.64935,36.599199999999996
46,510366003001,-76.9924,37.4134,37.2697,-77.1069,-77.04965,37.34155
47,510379303003,-78.5074,36.9036,36.6979,-78.6915,-78.59945,36.800749999999994
48,510411002051,-77.5072,37.479,37.4674,-77.5252,-77.5162,37.4732
49,510411002061,-77.5227,37.4731,37.4589,-77.5471,-77.5349,37.466
50,510411002081,-77.5471,37.4736,37.4492,-77.5686,-77.55785,37.4614
51,510411002094,-77.5388,37.4797,37.4597,-77.5635,-77.55115,37.4697
52,510411004041,-77.4266,37.4396,37.4098,-77.4396,-77.4331,37.4247
53,510411004052,-77.4389,37.4376,37.4299,-77.4529,-77.4459,37.43375
54,510411004073,-77.4205,37.3983,37.3771,-77.4527,-77.4366,37.387699999999995
55,510411004094,-77.4034,37.3778,37.3546,-77.4205,-77.41195,37.3662
56,510411005053,-77.4045,37.3569,37.3346,-77.4265,-77.41550000000001,37.34575
57,510411005064,-77.3997,37.3427,37.3168,-77.409,-77.40435,37.329750000000004
58,510411005092,-77.3354,37.3534,37.3238,-77.3952,-77.3653,37.3386
59,510411006001,-77.4144,37.2639,37.2391,-77.4307,-77.42255,37.2515
60,510411007014,-77.4307,37.2392,37.2227,-77.4861,-77.4584,37.23095
61,510411008041,-77.4552,37.462,37.4423,-77.4736,-77.46440000000001,37.45215
62,510411008051,-77.4726,37.4507,37.4337,-77.4905,-77.48155,37.4422
63,510411008061,-77.4532,37.4417,37.4325,-77.4637,-77.45845,37.4371
64,510411008122,-77.544,37.4468,37.4281,-77.5672,-77.5556,37.43745
65,510411008152,-77.4539,37.4051,37.3906,-77.4837,-77.4688,37.39785
66,510411008231,-77.4526,37.3811,37.3496,-77.4805,-77.46655000000001,37.36535000000001
67,510411008232,-77.4633,37.38,37.3525,-77.5021,-77.4827,37.36625
68,510411009023,-77.5474,37.5426,37.5316,-77.5647,-77.55605,37.537099999999995
69,510411009101,-77.5731,37.4864,37.4712,-77.5833,-77.5782,37.47880000000001
70,510411009122,-77.6488,37.4508,37.4364,-77.6642,-77.6565,37.4436
71,510411009151,-77.6319,37.5134,37.5024,-77.673,-77.65245,37.5079
72,510411009201,-77.5796,37.5221,37.5051,-77.6161,-77.59785,37.5136
73,510411009214,-77.5693,37.5243,37.5073,-77.5872,-77.57825,37.5158
74,510411009231,-77.547,37.497,37.4797,-77.568,-77.5575,37.48835
75,510010901001,-75.31,38.0098,37.9172,-75.4118,-75.3609,37.963499999999996
76,510010901002,-75.3615,37.9373,37.9198,-75.3874,-75.37445,37.92855
77,510010901003,-75.3508,37.9318,37.9048,-75.3842,-75.3675,37.9183
78,510010905001,-75.6418,37.855,37.7778,-75.7306,-75.6862,37.8164
79,510010906003,-75.7278,37.7173,37.6993,-75.7577,-75.74275,37.7083
80,510019902000,-75.8032,37.7602,37.5846,-75.9318,-75.8675,37.672399999999996
81,510030102012,-78.4247,38.214,38.1278,-78.4941,-78.4594,38.1709
82,510030103004,-78.4335,38.1227,38.1101,-78.4527,-78.44309999999999,38.1164
83,510030105001,-78.3758,38.0741,38.0414,-78.4516,-78.4137,38.05775
84,510030106013,-78.4669,38.0818,38.0647,-78.4852,-78.47605,38.07325
85,510030107001,-78.4738,38.087,38.0754,-78.4874,-78.4806,38.0812
86,510030108002,-78.4963,38.0712,38.0641,-78.5043,-78.50030000000001,38.06765
87,510030109012,-78.5048,38.0519,38.0438,-78.5156,-78.5102,38.04785
88,510030109022,-78.5142,38.0355,38.0292,-78.5197,-78.51695000000001,38.03235
89,510030111002,-78.6487,38.0697,38.0512,-78.7029,-78.67580000000001,38.06045
90,510030113011,-78.5023,37.9998,37.9771,-78.5385,-78.5204,37.98845
91,510030113021,-78.5054,38.0184,38.0021,-78.5278,-78.5166,38.01025
92,510030113022,-78.5033,38.0104,37.9933,-78.5289,-78.5161,38.00185
93,510050701001,-79.8245,37.8239,37.8077,-79.8457,-79.8351,37.815799999999996
94,510050701002,-79.8243,37.8283,37.8148,-79.8328,-79.82855,37.82155
95,510050802023,-79.9617,37.7769,37.7591,-79.9782,-79.96995,37.768
96,510079302001,-77.9652,37.3304,37.2398,-78.1249,-78.04505,37.2851
97,510090101003,-79.0644,37.7958,37.5599,-79.2518,-79.1581,37.67785
98,510090101004,-79.1178,37.8141,37.4942,-79.4369,-79.27735,37.65415
99,510090102003,-79.0349,37.5881,37.5451,-79.0966,-79.06575,37.566599999999994
100,510090104012,-79.0525,37.5228,37.4679,-79.1002,-79.07634999999999,37.49535
101,510090105042,-79.1117,37.4416,37.4255,-79.1243,-79.118,37.43355
102,510110401004,-78.8154,37.3621,37.3461,-78.8384,-78.8269,37.3541
103,510110401005,-78.7715,37.3495,37.288,-78.852,-78.81175,37.318749999999994
104,510131001001,-77.1582,38.8996,38.8884,-77.1722,-77.1652,38.894
105,510131001002,-77.1562,38.9031,38.8943,-77.1642,-77.1602,38.898700000000005
106,510131001003,-77.144,38.9021,38.8937,-77.1572,-77.1506,38.8979
107,510131002001,-77.148,38.909,38.9008,-77.1597,-77.15385,38.9049
108,510131002005,-77.1336,38.903,38.8963,-77.1407,-77.13714999999999,38.899649999999994
109,510131003003,-77.1288,38.919,38.9043,-77.1458,-77.1373,38.911649999999995
110,510131004003,-77.0828,38.9106,38.8985,-77.1088,-77.0958,38.90455
111,510131006001,-77.0988,38.8968,38.8895,-77.1083,-77.10355,38.89315
112,510131007001,-77.114,38.8994,38.8933,-77.1203,-77.11715000000001,38.89635
113,510131009002,-77.1245,38.8889,38.8837,-77.1358,-77.13015,38.8863
114,510131010001,-77.1376,38.8961,38.8903,-77.1459,-77.14175,38.8932
115,510131011001,-77.1443,38.8942,38.8869,-77.1533,-77.1488,38.89055
116,510131012001,-77.1238,38.8749,38.8661,-77.1471,-77.13544999999999,38.8705
117,510131013002,-77.1264,38.8764,38.8683,-77.1339,-77.13015,38.87235
118,510131013005,-77.1166,38.8783,38.8684,-77.1284,-77.1225,38.87335
119,510131014022,-77.1127,38.8855,38.8821,-77.1172,-77.11495,38.8838
120,510131014032,-77.1102,38.8823,38.8799,-77.1118,-77.111,38.8811
121,510131015001,-77.084,38.8983,38.8946,-77.0914,-77.0877,38.89645
122,510131015005,-77.0921,38.8959,38.8901,-77.1008,-77.09645,38.893
123,510131016021,-77.0819,38.8964,38.8934,-77.0865,-77.08420000000001,38.8949
124,510131016032,-77.0736,38.8984,38.8941,-77.0803,-77.07695,38.89625
125,510131017012,-77.0803,38.891,38.8884,-77.0826,-77.08144999999999,38.8897
126,510131017021,-77.068,38.8951,38.8904,-77.0715,-77.06975,38.89275
127,510131017032,-77.0714,38.892,38.8876,-77.0763,-77.07385,38.8898
128,510131018025,-77.0877,38.8904,38.8845,-77.0907,-77.0892,38.88745
129,510131019001,-77.0945,38.8874,38.8785,-77.0989,-77.0967,38.88295
130,510131020011,-77.1085,38.8768,38.8725,-77.1134,-77.11095,38.87465
131,510131020032,-77.1007,38.8755,38.869,-77.1096,-77.10515000000001,38.87225
132,510131022001,-77.119,38.861,38.8553,-77.1272,-77.1231,38.858149999999995
133,510131022004,-77.1139,38.8596,38.8566,-77.12,-77.11695,38.8581
134,510131023022,-77.1065,38.8625,38.8567,-77.1111,-77.1088,38.8596
135,510131023023,-77.1013,38.8639,38.8573,-77.109,-77.10515,38.860600000000005
136,510131024003,-77.0881,38.8708,38.8664,-77.098,-77.09305,38.8686
137,510131025003,-77.087,38.8681,38.8613,-77.0946,-77.0908,38.8647
138,510131027012,-77.0966,38.8595,38.8521,-77.1035,-77.10005,38.8558
139,510131028012,-77.1102,38.8559,38.8515,-77.1152,-77.1127,38.8537
140,510131029013,-77.0947,38.8394,38.8347,-77.1001,-77.0974,38.83705
141,510131030001,-77.0886,38.8356,38.8292,-77.0978,-77.0932,38.8324
142,510411009271,-77.6371,37.4613,37.4479,-77.6678,-77.65245,37.4546
143,510411009272,-77.6633,37.4622,37.4434,-77.6759,-77.6696,37.452799999999996
144,510411009273,-77.6718,37.5062,37.4422,-77.7626,-77.7172,37.474199999999996
145,510411009291,-77.6403,37.5022,37.4772,-77.6596,-77.64994999999999,37.4897
146,510411009321,-77.5936,37.4743,37.4626,-77.6291,-77.61134999999999,37.468450000000004
147,510411009352,-77.6471,37.5545,37.5287,-77.6768,-77.66194999999999,37.5416
148,510411010071,-77.6752,37.4384,37.4204,-77.6931,-77.68415,37.4294
149,510411010081,-77.6929,37.4209,37.3989,-77.7228,-77.70785000000001,37.4099
150,510411010111,-77.6544,37.4081,37.3905,-77.6674,-77.6609,37.3993
151,510430101003,-77.9768,39.1683,39.1371,-78.0118,-77.9943,39.152699999999996
152,510430101006,-77.9588,39.1611,39.145,-77.9826,-77.9707,39.15305
153,510479301012,-77.9879,38.5207,38.4776,-78.0391,-78.0135,38.49915
154,510479302012,-77.9956,38.4776,38.4537,-78.0335,-78.01455,38.46565
155,510479303002,-77.9849,38.4786,38.4736,-77.9987,-77.9918,38.4761
156,510479305022,-77.9833,38.4648,38.445,-78.023,-78.00315,38.454899999999995
157,510499302003,-78.3337,37.3499,37.3017,-78.4043,-78.369,37.3258
158,510510402002,-82.4405,37.1826,37.1486,-82.4692,-82.45485,37.1656
159,510510403004,-82.4846,37.1492,37.0634,-82.5466,-82.5156,37.106300000000005
160,510538402003,-77.5126,37.2463,37.1705,-77.5979,-77.55525,37.2084
161,510538403004,-77.4693,37.2053,37.1832,-77.5087,-77.489,37.19425
162,510579507002,-76.8109,37.9536,37.8714,-76.8878,-76.84935,37.9125
163,510594151001,-77.0605,38.7909,38.7787,-77.0734,-77.06695,38.784800000000004
164,510594151002,-77.0691,38.7842,38.7703,-77.0813,-77.0752,38.777249999999995
165,510594152003,-77.0519,38.7771,38.7688,-77.0628,-77.05735,38.772949999999994
166,510594154022,-77.0612,38.7545,38.7441,-77.0778,-77.0695,38.749300000000005
167,510594155004,-77.0781,38.7435,38.7324,-77.0886,-77.08335,38.73795
168,510594156001,-77.0489,38.7659,38.7464,-77.0597,-77.05430000000001,38.756150000000005
169,510594156002,-77.041,38.7684,38.7298,-77.0582,-77.0496,38.7491
170,510594157001,-77.0412,38.7333,38.719,-77.0569,-77.04905,38.726150000000004
171,510594157002,-77.0422,38.7301,38.7097,-77.0629,-77.05255,38.719899999999996
172,510594158002,-77.0651,38.7326,38.718,-77.0822,-77.07365,38.725300000000004
173,510594160001,-77.0891,38.7391,38.7228,-77.1035,-77.0963,38.73095
174,510594162002,-77.1257,38.7141,38.687,-77.1513,-77.1385,38.70055
175,510594201001,-77.1693,38.7904,38.7778,-77.1811,-77.1752,38.784099999999995
176,510594202013,-77.1361,38.7886,38.7832,-77.1433,-77.1397,38.7859
177,510594202022,-77.1366,38.7919,38.7882,-77.1393,-77.13795,38.79005
178,510594203003,-77.0874,38.803,38.7971,-77.112,-77.0997,38.80005
179,510594205021,-77.0656,38.7948,38.7894,-77.0739,-77.06975,38.792100000000005
180,510594205031,-77.0748,38.7985,38.7928,-77.0806,-77.0777,38.795649999999995
181,510594207001,-77.0905,38.7925,38.7823,-77.1213,-77.1059,38.7874
182,510594210022,-77.1565,38.78,38.7674,-77.1719,-77.1642,38.773700000000005
183,510594211013,-77.169,38.7518,38.7394,-77.1851,-77.17705000000001,38.7456
184,510594211033,-77.165,38.7518,38.7409,-77.1712,-77.16810000000001,38.74635000000001
185,510594214001,-77.0786,38.7815,38.7682,-77.0938,-77.08619999999999,38.77485
186,510594214004,-77.0839,38.7631,38.7591,-77.0898,-77.08685,38.7611
