,GEOID,east,north,south,west,lon,lat
0,51051040200,-82.3651,37.2599,37.1292,-82.5538,-82.45945,37.19455
1,51051040400,-82.1361,37.1551,36.9559,-82.4507,-82.29339999999999,37.055499999999995
2,51057950600,-76.8628,38.162,37.8282,-77.1696,-77.0162,37.9951
3,51059415100,-77.0605,38.7909,38.7703,-77.0813,-77.0709,38.7806
4,51059415401,-77.0699,38.7659,38.7482,-77.0842,-77.07705,38.75705
5,51059416000,-77.0891,38.7391,38.7131,-77.1202,-77.10464999999999,38.7261
6,51059420100,-77.1345,38.8008,38.7777,-77.1811,-77.15780000000001,38.78925
7,51059420800,-77.0853,38.7886,38.7675,-77.1209,-77.10310000000001,38.77805
8,51059421200,-77.1202,38.7559,38.7411,-77.1428,-77.13149999999999,38.7485
9,51059421600,-77.0886,38.7474,38.7294,-77.1073,-77.09795,38.7384
10,51059421800,-77.112,38.732,38.7141,-77.1403,-77.12615,38.72305
11,51059422301,-77.1179,38.7864,38.7728,-77.1361,-77.12700000000001,38.7796
12,51059422401,-77.1396,38.768,38.7565,-77.1509,-77.14525,38.76225
13,51059430203,-77.2891,38.8249,38.8129,-77.3089,-77.299,38.8189
14,51059430500,-77.1939,38.8035,38.7928,-77.2188,-77.20635,38.79815
15,51059430901,-77.2332,38.7939,38.7752,-77.2541,-77.24365,38.784549999999996
16,51059431801,-77.265,38.8062,38.7952,-77.3029,-77.28395,38.8007
17,51059431900,-77.2478,38.8079,38.7938,-77.2695,-77.25864999999999,38.80085
18,51059432300,-77.2756,38.7877,38.7689,-77.3043,-77.28995,38.7783
19,51059432702,-77.2082,38.7424,38.7178,-77.2212,-77.2147,38.7301
20,51059440600,-77.3187,38.8517,38.83,-77.3479,-77.33330000000001,38.84085
21,51059450200,-77.1839,38.8789,38.866,-77.2034,-77.19364999999999,38.87245
22,51059450500,-77.1746,38.8697,38.8571,-77.1873,-77.18095,38.8634
23,51059450702,-77.1965,38.8463,38.8306,-77.2109,-77.2037,38.838449999999995
24,51059451300,-77.1478,38.872,38.8518,-77.1659,-77.15684999999999,38.8619
25,51059451900,-77.1384,38.8361,38.8175,-77.1741,-77.15625,38.826800000000006
26,51059452102,-77.1864,38.8306,38.8115,-77.2101,-77.19825,38.82105
27,51059452502,-77.1411,38.8208,38.8062,-77.1593,-77.1502,38.8135
28,51059452802,-77.1107,38.8449,38.8404,-77.1214,-77.11605,38.842650000000006
29,51059460200,-77.266,38.9457,38.9061,-77.312,-77.289,38.9259
30,51059460300,-77.2577,38.9304,38.9103,-77.286,-77.27185,38.92035
31,51059460600,-77.2177,38.897,38.8797,-77.2471,-77.2324,38.88835
32,51059461000,-77.2639,38.9103,38.8933,-77.2845,-77.27420000000001,38.9018
33,51059461601,-77.2386,38.8804,38.8671,-77.2833,-77.26095000000001,38.87375
34,51059461901,-77.2734,38.875,38.8663,-77.2978,-77.28559999999999,38.87065
35,51059470600,-77.1774,38.9455,38.9289,-77.2078,-77.1926,38.937200000000004
36,51059471000,-77.1757,38.9095,38.8939,-77.1997,-77.1877,38.901700000000005
37,51059471303,-77.1971,38.905,38.8875,-77.2192,-77.20815,38.89625
38,51059480202,-77.2102,38.9343,38.9102,-77.2367,-77.22345,38.922250000000005
39,51059480501,-77.3426,39.0143,38.9873,-77.3768,-77.3597,39.0008
40,51059480802,-77.3653,38.9859,38.9587,-77.3817,-77.3735,38.972300000000004
41,51059481000,-77.401,38.9716,38.9569,-77.4224,-77.4117,38.96425
42,51059481104,-77.4055,38.9479,38.9417,-77.4139,-77.4097,38.9448
43,51059481701,-77.3373,38.925,38.8748,-77.3828,-77.36005,38.8999
44,51059482301,-77.329,38.9523,38.9339,-77.3613,-77.34514999999999,38.9431
45,51059482502,-77.4062,38.9203,38.9041,-77.4215,-77.41385,38.9122
46,51059490501,-77.4049,38.8401,38.8308,-77.4273,-77.4161,38.83545
47,51059491202,-77.4312,38.8467,38.8371,-77.4473,-77.43925,38.841899999999995
48,51059491401,-77.4123,38.8388,38.8272,-77.4366,-77.42445000000001,38.833
49,51059491501,-77.402,38.852,38.8387,-77.4323,-77.41714999999999,38.845349999999996
50,51059491703,-77.3461,38.8618,38.8486,-77.3647,-77.3554,38.855199999999996
51,51059491801,-77.3822,38.863,38.852,-77.4053,-77.39375,38.8575
52,51059492202,-77.2495,38.7555,38.7281,-77.2871,-77.2683,38.7418
53,51059980100,-77.1843,38.7592,38.7427,-77.2158,-77.20005,38.75095
54,51061930303,-77.7495,38.7927,38.7274,-77.8148,-77.78215,38.76005000000001
55,51061930706,-77.7258,38.583,38.506,-77.8202,-77.773,38.5445
56,51063920102,-80.1044,37.1235,36.837,-80.3556,-80.22999999999999,36.98025
57,51063920200,-80.3175,37.0215,36.7087,-80.634,-80.47575,36.8651
58,51065020101,-78.1921,38.0064,37.8568,-78.3513,-78.2717,37.9316
59,51067020500,-79.8749,37.1748,36.9675,-80.1439,-80.0094,37.07115
60,51069050600,-78.2014,39.1573,39.0434,-78.3242,-78.2628,39.10035
61,51069051000,-78.085,39.1884,39.1476,-78.1578,-78.1214,39.168
62,51071930200,-80.493,37.4817,37.198,-80.7384,-80.6157,37.33985
63,51073100301,-76.4778,37.3,37.241,-76.546,-76.5119,37.2705
64,51075400300,-77.8254,37.6845,37.6324,-77.8962,-77.8608,37.65845
65,51081880102,-77.4816,36.802,36.7954,-77.4899,-77.48575,36.7987
66,51083930302,-78.8216,36.6875,36.5415,-79.1468,-78.9842,36.6145
67,51085320601,-77.4465,37.7998,37.7584,-77.5087,-77.4776,37.7791
68,51085321202,-77.2963,37.6075,37.5599,-77.3828,-77.33955,37.5837
69,51087200104,-77.5376,37.6243,37.5972,-77.5647,-77.55115,37.610749999999996
70,51087200109,-77.5517,37.5924,37.5693,-77.5826,-77.56715,37.58085
71,51087200121,-77.6118,37.6585,37.6318,-77.6379,-77.62485000000001,37.64515
72,51087200125,-77.5505,37.6378,37.6243,-77.5692,-77.55985,37.63105
73,51087200301,-77.4935,37.5901,37.5755,-77.5118,-77.50264999999999,37.5828
74,51087200302,-77.5038,37.5973,37.5815,-77.532,-77.5179,37.5894
75,51087200407,-77.5314,37.6495,37.6328,-77.5606,-77.54599999999999,37.64115
76,51087200412,-77.5082,37.6414,37.6297,-77.5296,-77.5189,37.635549999999995
77,51087200600,-77.4709,37.6243,37.5984,-77.4887,-77.4798,37.61135
78,51087200802,-77.4348,37.6297,37.6016,-77.4585,-77.44665,37.61565
79,51087200906,-77.4829,37.6914,37.6417,-77.5076,-77.49525,37.66655
80,51001090100,-75.31,38.0098,37.8802,-75.4237,-75.36685,37.945
81,51001980100,-75.2423,38.0272,37.8527,-75.4135,-75.3279,37.939949999999996
82,51003010601,-78.443,38.101,38.0646,-78.4852,-78.4641,38.0828
83,51003010700,-78.4738,38.087,38.0619,-78.4991,-78.48644999999999,38.07445
84,51003011302,-78.5033,38.0184,37.9933,-78.5289,-78.5161,38.005849999999995
85,51003011303,-78.4749,38.0173,37.9817,-78.5132,-78.49405,37.9995
86,51009010100,-78.9375,37.8141,37.4942,-79.4369,-79.18719999999999,37.65415
87,51009010200,-78.8676,37.6591,37.4683,-79.2027,-79.03514999999999,37.5637
88,51009010402,-79.0689,37.4953,37.4547,-79.1503,-79.1096,37.475
89,51013100100,-77.144,38.9031,38.8884,-77.1722,-77.1581,38.89575
90,51013100400,-77.0828,38.9295,38.8985,-77.1227,-77.10275,38.914
91,51013100800,-77.1216,38.9003,38.89,-77.1336,-77.1276,38.89515
92,51013101401,-77.1138,38.8854,38.8783,-77.1235,-77.11865,38.88185
93,51013101602,-77.0803,38.8964,38.8912,-77.0865,-77.0834,38.8938
94,51013101703,-77.0714,38.892,38.8871,-77.081,-77.0762,38.88955
95,51013101900,-77.092,38.8874,38.8706,-77.1039,-77.09795,38.879000000000005
96,51013102301,-77.0946,38.8706,38.8619,-77.1155,-77.10505,38.86625
97,51013102702,-77.0947,38.8543,38.8469,-77.103,-77.09885,38.8506
98,51013102902,-77.0852,38.8452,38.8356,-77.0991,-77.09215,38.8404
99,51013103402,-77.0414,38.872,38.841,-77.0554,-77.0484,38.8565
100,51013103602,-77.0522,38.8575,38.8479,-77.0557,-77.05395,38.8527
101,51015070100,-79.1805,38.4128,38.0181,-79.5333,-79.3569,38.21545
102,51015071101,-78.9884,38.0764,38.0133,-79.0648,-79.0266,38.04485
103,51017920100,-79.4367,38.2664,37.8445,-80.0563,-79.7465,38.05544999999999
104,51019030602,-79.7477,37.2843,37.2152,-79.8581,-79.8029,37.249750000000006
105,51023040302,-79.8551,37.5451,37.3632,-80.074,-79.96455,37.45415
106,51025930202,-77.8093,36.7936,36.7737,-77.8325,-77.8209,36.783649999999994
107,51027010100,-81.8964,37.4469,37.2684,-82.1806,-82.0385,37.35765
108,51027010700,-82.0002,37.2235,37.0382,-82.2362,-82.1182,37.13085
109,51029930101,-78.3242,37.7969,37.5751,-78.7193,-78.52175,37.686
110,51029930202,-78.4522,37.6426,37.3296,-78.8332,-78.6427,37.4861
111,51031020200,-79.1079,37.376,37.2843,-79.2267,-79.1673,37.33015
112,51031020700,-79.2429,37.1403,37.1048,-79.3219,-79.2824,37.122550000000004
113,51033030100,-77.105,38.2526,38.0182,-77.48,-77.2925,38.135400000000004
114,51033030202,-77.0687,38.0787,37.8857,-77.3255,-77.1971,37.9822
115,51041100106,-77.5283,37.5319,37.5045,-77.5693,-77.5488,37.5182
116,51041100107,-77.5237,37.5255,37.4974,-77.5496,-77.53665000000001,37.511449999999996
117,51041100205,-77.4947,37.479,37.4497,-77.5252,-77.50995,37.464349999999996
118,51041100208,-77.5471,37.4736,37.4492,-77.5916,-77.56935,37.4614
119,51041100404,-77.4266,37.4396,37.4098,-77.4396,-77.4331,37.4247
120,51041100410,-77.4434,37.3704,37.3502,-77.4645,-77.45394999999999,37.360299999999995
121,51041100510,-77.2967,37.3431,37.3088,-77.341,-77.31885,37.32595
122,51041100804,-77.4522,37.4642,37.4393,-77.4865,-77.46935,37.451750000000004
123,51041100814,-77.4803,37.4188,37.3926,-77.5151,-77.49770000000001,37.405699999999996
124,51041100910,-77.5635,37.4904,37.4608,-77.5977,-77.5806,37.4756
125,51041100921,-77.5621,37.5257,37.5073,-77.6119,-77.587,37.5165
126,51041100929,-77.6219,37.5022,37.4606,-77.6596,-77.64075,37.4814
127,51041100933,-77.6039,37.4341,37.4099,-77.6303,-77.6171,37.422
128,51041101008,-77.6822,37.4268,37.3989,-77.7228,-77.7025,37.41285
129,51047930201,-77.9956,38.5126,38.4537,-78.0784,-78.037,38.483149999999995
130,51047930400,-77.6187,38.562,38.3566,-77.9994,-77.80905,38.4593
131,51049930100,-78.0723,37.7494,37.309,-78.382,-78.22715,37.5292
132,51087201003,-77.3754,37.5718,37.5494,-77.4115,-77.39345,37.5606
133,51087201101,-77.3592,37.5662,37.5299,-77.3958,-77.3775,37.54805
134,51087201102,-77.3624,37.5458,37.5174,-77.3956,-77.37899999999999,37.5316
